doc_id,year,is_genuine_ai,false_positive_reason,ai_technique,application_domain,data_modality,innovation_orientation,core_ai_task,contribution_type,training_paradigm,is_llm_related,confidence,reasoning,status
20210248426,2021,True,,neural_network_general,ai_methods_infrastructure,text_language,fundamental,classification_detection,algorithmic,unsupervised_selfsupervised,False,high,"The innovation is oriented towards a new method for updating parameters in a learning model, which is applicable across domains.",success
20230113788,2023,True,,neural_network_general,scientific_research,sensor_tabular,fundamental,prediction,algorithmic,supervised,False,high,"The innovation is a new method for predicting spectral profiles of peptides, which is applicable across different research domains.",success
20110229020,2011,True,,neural_network_general,nlp_text,other,fundamental,classification_detection,algorithmic,unsupervised_selfsupervised,False,medium,"The innovation is a new method for generating a tree-structured dictionary, which is a fundamental technique applicable across domains.",success
20230409867,2023,True,,neural_network_general,ai_methods_infrastructure,image_video,fundamental,optimization_planning,architectural,not_specified,False,high,"The innovation is in a new architectural approach for optimizing neural network architectures for multi-task learning, which is applicable across domains.",success
20200026761,2020,True,,transformer_llm,nlp_text,text_language,fundamental,generation,algorithmic,unsupervised_selfsupervised,True,high,"The innovation is in a new method for training a text analysis model, which is applicable across different text analysis tasks.",success
11159556,2021,True,,recommender_system,security_privacy,sensor_tabular,applied,prediction,application_implementation,not_specified,False,medium,"The innovation is applied to a specific domain (security privacy) and uses a recommender system for prediction, making it domain-specific.",success
20180349787,2018,True,,machine_learning_classifier,nlp_text,text_language,applied,classification_detection,algorithmic,supervised,False,high,The innovation is applied to a specific domain (communication analysis) and uses supervised learning for classification.,success
11070483,2021,True,,machine_learning_based_model,networking_infrastructure,sensor_tabular,applied,classification_detection,application_implementation,supervised,False,medium,The innovation is applied to a specific domain (networking) and uses machine learning for a specific task (MTU mismatch detection).,success
20220101341,2022,True,,machine_learning_models,finance_business,text_language,applied,classification_detection,application_implementation,supervised,False,medium,"The innovation is applied to a specific domain (finance/business) for detecting illegitimate entities, making it domain-specific.",success
10883491,2021,True,,hidden_markov_model,industrial_manufacturing,sensor_tabular,applied,classification_detection,algorithmic,unsupervised_selfsupervised,False,medium,The innovation is applied to a specific industrial domain (oil and gas) for a practical problem (plunger lift state estimation).,success
20180219754,2018,True,,decision_tree,networking_infrastructure,sensor_tabular,applied,classification_detection,system_integration,unsupervised_selfsupervised,False,medium,"The innovation is applied to a specific domain (networking infrastructure) and uses a decision tree for classification, which is a specific application rather than a fundamental AI technique.",success
10133959,2018,True,,quantum_computing,computer_vision_imaging,image_video,applied,classification_detection,system_integration,,False,medium,The innovation is applied to a specific domain (machine vision) and integrates quantum computing for image pattern recognition.,success
10404732,2019,True,,not_applicable,networking_infrastructure,sensor_tabular,applied,classification_detection,system_integration,unsupervised_selfsupervised,False,medium,The innovation is applied to a specific domain (networking) and involves a system integration of existing components for anomaly detection.,success
10002300,2018,True,,computer_vision_cnn,autonomous_systems,image_video,applied,classification_detection,application_implementation,,False,medium,The innovation is applied to a specific domain (autonomous vehicles) and uses computer vision for a specific task (monitoring driver's concentrativeness).,success
11032615,2021,True,,machine_learning_regression,consumer_electronics,sensor_tabular,applied,optimization_planning,application_implementation,supervised,False,medium,The innovation is applied to a specific domain (consumer electronics) for optimizing user experience.,success
20210216817,2021,True,,generative_model,computer_vision_imaging,image_video,both,generation,architectural,unsupervised_selfsupervised,False,high,"The innovation involves a novel architecture combining image and audio processing, which is applicable across domains but primarily deployed in computer vision imaging.",success
20230237779,2023,True,,neural_network_general,ai_methods_infrastructure,sensor_tabular,both,optimization_planning,system_integration,not_specified,False,medium,"The innovation involves integrating pre- and post-processing with machine learning, which is applicable across various domains.",success
10732791,2020,False,No AI/ML methods or learning component described.,,consumer_electronics,text_language,applied,,application_implementation,,False,medium,The innovation is applied to a specific domain (consumer electronics) and does not introduce a new AI technique or architecture.,success
10931965,2021,False,Primarily signal processing and video coding techniques without AI/ML learning component,,computer_vision_imaging,image_video,,,,,False,medium,"The innovation is oriented towards a specific application in video coding, not a general AI technique.",success
9013484,2015,False,Primarily signal processing and rendering technique without learning component,,computer_vision_imaging,image_video,applied,,,,False,medium,The innovation is applied to a specific domain (rendering) and does not focus on a new AI technique or architecture.,success
