patent_id,year,title,abstract,status,is_genuine_ai,false_positive_reason,ai_technique,application_domain,data_modality,innovation_orientation,core_ai_task,contribution_type,training_paradigm,is_llm_related,confidence,reasoning,v4_is_genuine_ai,v4_ai_technique,v4_innovation_orientation,raw_response
185-218-965-081-11X,2010.0,Target detection improvements using temporal integrations and spatial fusion,"A method for identifying potential targets as far away as possible is disclosed. In a simple background scene such as a blue sky, a target may be recognized from a relatively long distance, but for some high clutter situations such as mountains and cities, the detection range is severely reduced. Th...",success,False,The patent focuses on target detection improvements using sensor data integration techniques without involving AI/ML methods.,,,,,,,,False,high,The invention does not involve AI techniques but rather traditional signal processing methods for target detection.,False,not_applicable,,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The patent focuses on target detection improvements using sensor data integration techniques without involving AI/ML methods."",
  ""ai_technique"": null,
  ""application_domain"": null,
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The invention does not involve AI techniques but rather traditional signal processing methods for target detection.""
}"
070-177-081-117-887,2010.0,System and method for facilitating call routing using speech recognition,A computer-implemented method is described for optimizing prompts for a speech-enabled application. The speech-enabled application is operable to receive communications from a number of users and communicate one or more prompts to each user to illicit a response from the user that indicates the purp...,success,False,The patent primarily focuses on optimizing prompts for a speech-enabled application without a core AI/ML learning component.,,speech_audio,,,,,,False,high,"The innovation does not introduce a new AI technique or learning method, but rather applies existing methods to improve user interaction.",True,optimization,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The patent primarily focuses on optimizing prompts for a speech-enabled application without a core AI/ML learning component."",
  ""ai_technique"": null,
  ""application_domain"": ""speech_audio"",
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The innovation does not introduce a new AI technique or learning method, but rather applies existing methods to improve user interaction."" 
}"
194-271-476-214-849,2010.0,"IMAGE FORMING APPARATUS, AND CONTROL METHOD AND PROGRAM FOR THE SAME","The present invention provides an image forming apparatus and its control method that can suitably control processing of originals in a number larger than the maximum placeable number, while suppressing an increase in the cost and complexity of the control. To accomplish this, the image forming appa...",success,False,The invention focuses on control methods for an image forming apparatus without involving AI/ML techniques.,,,,,,,,False,high,"The patent does not describe any AI-related methods or techniques, focusing instead on control mechanisms for hardware.",False,not_applicable,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The invention focuses on control methods for an image forming apparatus without involving AI/ML techniques."",
  ""ai_technique"": null,
  ""application_domain"": null,
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The patent does not describe any AI-related methods or techniques, focusing instead on control mechanisms for hardware.""
}"
103-821-690-227-467,2010.0,SYSTEM AND PROCESS FOR PRESENTING SEARCH RESULTS IN A HISTOGRAM/CLUSTER FORMAT,"A user interface system and process for graphically displaying the results of a standard search, such as a database search, to a user on a display device via an interactive search results window in which the user views and filters search results items. These results can be presented in either a clus...",success,False,"The patent describes a user interface system for displaying search results, which does not involve AI/ML methods.",,,,,,,,False,high,The innovation focuses on user interface design rather than AI techniques or methods.,False,not_applicable,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The patent describes a user interface system for displaying search results, which does not involve AI/ML methods."",
  ""ai_technique"": null,
  ""application_domain"": null,
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The innovation focuses on user interface design rather than AI techniques or methods.""
}"
126-435-585-282-463,2010.0,PROCEDURE FOR OPERATING A MACHINE TOOL AND MACHINE TOOL FOR THIS PURPOSE,"A machine tool, in particular in a handheld configuration, that is equipped with tools for a sensory detection of a trajectory that serves as a guideline and is detected in characteristic values and read in, alternatively to a programmed trajectory. The characteristic values that are on a side of th...",success,False,The invention primarily relates to machine tool operation and control without a core AI/ML learning component.,,,,,,,,False,high,The patent focuses on machine tool operation rather than an AI-driven solution.,False,not_applicable,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The invention primarily relates to machine tool operation and control without a core AI/ML learning component."",
  ""ai_technique"": null,
  ""application_domain"": null,
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The patent focuses on machine tool operation rather than an AI-driven solution.""
}"
160-127-487-830-989,2010.0,ENTERPRISE PROJECT TYPES,A selection of an enterprise project type is received from a plurality of enterprise project types. The enterprise project type may include a plurality of pages. Each page may include a plurality of input fields for collecting values of properties. A project page from the enterprise project type is ...,success,False,The patent describes a system for managing enterprise project types without a core AI/ML component.,,,,,,,,False,high,The invention focuses on project management rather than AI techniques or applications.,False,not_applicable,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The patent describes a system for managing enterprise project types without a core AI/ML component."",
  ""ai_technique"": null,
  ""application_domain"": null,
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The invention focuses on project management rather than AI techniques or applications.""
}"
091-752-319-821-63X,2010.0,Method and system for displaying contextual advertisements with media,"Systems and methods have been developed for displaying contextually relevant advertisements to users as media objects are being rendered. One or more data sources with contextual information for different portions of each media object are maintained. From this contextual information, keywords may be...",success,False,The patent focuses on displaying advertisements based on contextual information rather than involving a genuine AI/ML learning component.,,consumer_electronics,,,,,,False,high,"The innovation does not introduce a new AI technique or method, but rather applies existing concepts to advertisement display.",False,not_applicable,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The patent focuses on displaying advertisements based on contextual information rather than involving a genuine AI/ML learning component."",
  ""ai_technique"": null,
  ""application_domain"": ""consumer_electronics"",
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The innovation does not introduce a new AI technique or method, but rather applies existing concepts to advertisement display."" 
}"
067-227-802-107-940,2010.0,MODELING A COMPUTING ENTITY,"To model a computing entity, information relating to transactions associated with the computing entity is received. The received information forms a collection of information. The collection is segmented into a plurality of segments, and at least one anomalous segment is identified. A model of the c...",success,False,The patent describes a method for modeling a computing entity using transaction information without a core AI/ML learning component.,,,,,,,,False,low,The innovation does not involve AI techniques but rather focuses on modeling and anomaly detection in transaction data.,False,not_applicable,,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The patent describes a method for modeling a computing entity using transaction information without a core AI/ML learning component."",
  ""ai_technique"": null,
  ""application_domain"": null,
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""low"",
  ""reasoning"": ""The innovation does not involve AI techniques but rather focuses on modeling and anomaly detection in transaction data.""
}"
022-487-989-083-042,2011.0,Operating System Sandbox,"An operating system sandbox may include an operating system isolation module configured to restrict an operating system from transmitting machine-readable data and/or machine-readable instructions to an application, based on at least one predefined rule corresponding to abnormal operating system beh...",success,False,The patent describes an operating system isolation mechanism without a core AI/ML component.,,,,,,,,False,high,The invention focuses on system security rather than AI techniques or applications.,False,not_applicable,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The patent describes an operating system isolation mechanism without a core AI/ML component."",
  ""ai_technique"": null,
  ""application_domain"": null,
  ""data_modality"": null,
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The invention focuses on system security rather than AI techniques or applications.""
}"
002-602-849-431-952,2011.0,Method and device for determining a three-dimensional form of a body from two-dimensional projection images,A method for determining a three-dimensional form of a body from two-dimensional projection images includes producing at least one projection image of the body and producing corresponding model projection images from a generic model of the body. The body projection images and the model can be input ...,success,False,The invention primarily involves image processing and model adjustment without a learning component.,,healthcare_medical,image_video,,,,,False,high,The patent focuses on a method for image processing rather than a novel AI technique or learning method.,False,not_applicable,applied,"{
  ""is_genuine_ai"": false,
  ""false_positive_reason"": ""The invention primarily involves image processing and model adjustment without a learning component."",
  ""ai_technique"": null,
  ""application_domain"": ""healthcare_medical"",
  ""data_modality"": ""image_video"",
  ""innovation_orientation"": null,
  ""core_ai_task"": null,
  ""contribution_type"": null,
  ""training_paradigm"": null,
  ""is_llm_related"": false,
  ""confidence"": ""high"",
  ""reasoning"": ""The patent focuses on a method for image processing rather than a novel AI technique or learning method.""
}"
